

------------------------------------------------------------------------------------
	WALSH TABLE : [[1, 1, 1, 1], [1, -1, 1, -1], [1, 1, -1, -1], [1, -1, -1, 1]]        
------------------------------------------------------------------------------------


02/10/2021 21:23:50 ||| CHANNEL...   ||  [-1, -1, 1, 1]
02/10/2021 21:23:50 ||| SENDER-3     ||  DATA BIT SEND -1
02/10/2021 21:23:50 ||| CHANNEL...   ||  [-1, 1, 1, -1]-1
02/10/2021 21:23:50 ||| SENDER-1     ||  DATA BIT SEND -1
02/10/2021 21:23:50 ||| CHANNEL...   ||  [-1, -1, -1, -1]
02/10/2021 21:23:50 ||| CHANNEL...   ||  [-1, 1, -1, 1]-1
02/10/2021 21:23:50 ||| RECEIVER-1   ||  BIT RECEIVED : 0
02/10/2021 21:23:50 ||| RECEIVER-2   ||  BIT RECEIVED : 0
02/10/2021 21:23:50 ||| RECEIVER-4   ||  BIT RECEIVED : 0
02/10/2021 21:23:50 ||| RECEIVER-3   ||  BIT RECEIVED : 0
02/10/2021 21:23:51 ||| SENDER-3     ||  DATA BIT SEND -1
02/10/2021 21:23:51 ||| CHANNEL...   ||  [-1, -1, 1, 1]
02/10/2021 21:23:51 ||| CHANNEL...   ||  [-1, -1, -1, -1]
02/10/2021 21:23:51 ||| CHANNEL...   ||  [-1, 1, 1, -1]
02/10/2021 21:23:51 ||| SENDER-1     ||  DATA BIT SEND -1
02/10/2021 21:23:51 ||| SENDER-4     ||  DATA BIT SEND -1
02/10/2021 21:23:51 ||| CHANNEL...   ||  [-1, 1, -1, 1]
02/10/2021 21:23:51 ||| SENDER-2     ||  DATA BIT SEND -1
02/10/2021 21:23:51 ||| RECEIVER-1   ||  BIT RECEIVED : 0
02/10/2021 21:23:51 ||| RECEIVER-2   ||  BIT RECEIVED : 0
02/10/2021 21:23:51 ||| RECEIVER-4   ||  BIT RECEIVED : 0
02/10/2021 21:23:51 ||| RECEIVER-3   ||  BIT RECEIVED : 0
02/10/2021 21:23:52 ||| SENDER-3     ||  DATA BIT SEND -1
02/10/2021 21:23:52 ||| CHANNEL...   ||  [-1, -1, 1, 1]
02/10/2021 21:23:52 ||| CHANNEL...   ||  [-1, 1, 1, -1]-1
02/10/2021 21:23:52 ||| SENDER-1     ||  DATA BIT SEND -1
02/10/2021 21:23:52 ||| CHANNEL...   ||  [-1, -1, -1, -1]
02/10/2021 21:23:52 ||| CHANNEL...   ||  [-1, 1, -1, 1]
02/10/2021 21:23:52 ||| SENDER-2     ||  DATA BIT SEND -1
02/10/2021 21:23:52 ||| RECEIVER-1   ||  BIT RECEIVED : 0
02/10/2021 21:23:52 ||| RECEIVER-4   ||  BIT RECEIVED : 0
02/10/2021 21:23:52 ||| RECEIVER-3   ||  BIT RECEIVED : 0
02/10/2021 21:23:53 ||| CHANNEL...   ||  [-1, -1, 1, 1]
02/10/2021 21:23:53 ||| SENDER-3     ||  DATA BIT SEND -1
02/10/2021 21:23:53 ||| CHANNEL...   ||  [-1, -1, -1, -1]
02/10/2021 21:23:53 ||| SENDER-4     ||  DATA BIT SEND -1
02/10/2021 21:23:53 ||| CHANNEL...   ||  [-1, 1, 1, -1]
02/10/2021 21:23:53 ||| SENDER-1     ||  DATA BIT SEND -1
02/10/2021 21:23:53 ||| CHANNEL...   ||  [-1, 1, -1, 1]
02/10/2021 21:23:53 ||| RECEIVER-1   ||  BIT RECEIVED : 0
02/10/2021 21:23:53 ||| RECEIVER-3   ||  BIT RECEIVED : 0
02/10/2021 21:23:53 ||| RECEIVER-2   ||  BIT RECEIVED : 0
02/10/2021 21:23:53 ||| SENDER-2     ||  DATA BIT SEND -1
02/10/2021 21:23:54 ||| SENDER-3     ||  DATA BIT SEND 1
02/10/2021 21:23:54 ||| CHANNEL...   ||  [1, 1, -1, -1]
02/10/2021 21:23:54 ||| CHANNEL...   ||  [1, 1, 1, 1]
02/10/2021 21:23:54 ||| SENDER-1     ||  DATA BIT SEND 1
02/10/2021 21:23:54 ||| SENDER-4     ||  DATA BIT SEND 1
02/10/2021 21:23:54 ||| CHANNEL...   ||  [1, -1, -1, 1]
02/10/2021 21:23:54 ||| SENDER-2     ||  DATA BIT SEND 1
02/10/2021 21:23:54 ||| RECEIVER-2   ||  BIT RECEIVED : 1
02/10/2021 21:23:54 ||| RECEIVER-4   ||  BIT RECEIVED : 1
02/10/2021 21:23:54 ||| RECEIVER-3   ||  BIT RECEIVED : 1

02/10/2021 21:23:54 ||| DATA : [0, 1, 1, 0, 0, 0, 0, 1]

02/10/2021 21:23:54 ||| DATA : [0, 1, 1, 0, 0, 0, 0, 1]

02/10/2021 21:23:54 ||| DATA : [0, 1, 1, 0, 0, 0, 0, 1]

02/10/2021 21:23:54 ||| CHAR RECEIVED : a


02/10/2021 21:23:54 ||| CHAR RECEIVED : a


02/10/2021 21:23:54 ||| CHAR RECEIVED : a


02/10/2021 21:23:54 ||| CHAR RECEIVED : a

02/10/2021 21:23:55 ||| CHANNEL...   ||  [-1, -1, 1, 1]
02/10/2021 21:23:55 ||| SENDER-3     ||  DATA BIT SEND -1
02/10/2021 21:23:55 ||| CHANNEL...   ||  [-1, 1, 1, -1]-1
02/10/2021 21:23:55 ||| SENDER-1     ||  DATA BIT SEND -1
02/10/2021 21:23:55 ||| CHANNEL...   ||  [-1, -1, -1, -1]
02/10/2021 21:23:55 ||| CHANNEL...   ||  [-1, 1, -1, 1]
02/10/2021 21:23:55 ||| SENDER-2     ||  DATA BIT SEND -1
02/10/2021 21:23:55 ||| RECEIVER-2   ||  BIT RECEIVED : 0
02/10/2021 21:23:55 ||| RECEIVER-4   ||  BIT RECEIVED : 0
02/10/2021 21:23:55 ||| RECEIVER-3   ||  BIT RECEIVED : 0
02/10/2021 21:23:56 ||| CHANNEL...   ||  [1, 1, -1, -1]1
02/10/2021 21:23:56 ||| CHANNEL...   ||  [1, 1, 1, 1]
02/10/2021 21:23:56 ||| SENDER-1     ||  DATA BIT SEND 1
02/10/2021 21:23:56 ||| SENDER-4     ||  DATA BIT SEND 1
02/10/2021 21:23:56 ||| CHANNEL...   ||  [1, -1, -1, 1]
02/10/2021 21:23:56 ||| SENDER-2     ||  DATA BIT SEND 1
02/10/2021 21:23:56 ||| CHANNEL...   ||  [1, -1, 1, -1]
02/10/2021 21:23:56 ||| RECEIVER-1   ||  BIT RECEIVED : 1
02/10/2021 21:23:56 ||| RECEIVER-2   ||  BIT RECEIVED : 1
02/10/2021 21:23:56 ||| RECEIVER-3   ||  BIT RECEIVED : 1
02/10/2021 21:23:57 ||| CHANNEL...   ||  [1, 1, -1, -1]1
02/10/2021 21:23:57 ||| CHANNEL...   ||  [1, -1, -1, 1]1
02/10/2021 21:23:57 ||| SENDER-1     ||  DATA BIT SEND 1
02/10/2021 21:23:57 ||| CHANNEL...   ||  [1, 1, 1, 1]
02/10/2021 21:23:57 ||| SENDER-2     ||  DATA BIT SEND 1
02/10/2021 21:23:57 ||| CHANNEL...   ||  [1, -1, 1, -1]
02/10/2021 21:23:57 ||| RECEIVER-1   ||  BIT RECEIVED : 1
02/10/2021 21:23:57 ||| RECEIVER-2   ||  BIT RECEIVED : 1
02/10/2021 21:23:57 ||| RECEIVER-4   ||  BIT RECEIVED : 1
02/10/2021 21:23:57 ||| RECEIVER-3   ||  BIT RECEIVED : 1
02/10/2021 21:23:58 ||| CHANNEL...   ||  [-1, -1, 1, 1]-1
02/10/2021 21:23:58 ||| SENDER-1     ||  DATA BIT SEND -1
02/10/2021 21:23:58 ||| CHANNEL...   ||  [-1, -1, -1, -1]
02/10/2021 21:23:58 ||| SENDER-2     ||  DATA BIT SEND -1
02/10/2021 21:23:58 ||| SENDER-4     ||  DATA BIT SEND -1
02/10/2021 21:23:58 ||| CHANNEL...   ||  [-1, 1, 1, -1]
02/10/2021 21:23:58 ||| CHANNEL...   ||  [-1, 1, -1, 1]
02/10/2021 21:23:58 ||| RECEIVER-1   ||  BIT RECEIVED : 0
02/10/2021 21:23:58 ||| RECEIVER-4   ||  BIT RECEIVED : 0
02/10/2021 21:23:58 ||| RECEIVER-3   ||  BIT RECEIVED : 0
02/10/2021 21:23:59 ||| SENDER-3     ||  DATA BIT SEND 1
02/10/2021 21:23:59 ||| SENDER-4     ||  DATA BIT SEND 1
02/10/2021 21:23:59 ||| CHANNEL...   ||  [1, -1, -1, 1]
