

------------------------------------------------------------------------------------
	WALSH TABLE : [[1, 1, 1, 1], [1, -1, 1, -1], [1, 1, -1, -1], [1, -1, -1, 1]]        
------------------------------------------------------------------------------------


03/10/2021 07:37:38 ||| CHANNEL...   ||  [-1, -1, 1, 1]
03/10/2021 07:37:38 ||| SENDER-3     ||  DATA BIT SEND -1
03/10/2021 07:37:38 ||| CHANNEL...   ||  [-1, 1, 1, -1]-1
03/10/2021 07:37:38 ||| CHANNEL...   ||  [-1, 1, -1, 1]
03/10/2021 07:37:38 ||| SENDER-2     ||  DATA BIT SEND -1
03/10/2021 07:37:38 ||| RECEIVER-4   ||  BIT RECEIVED : 0
03/10/2021 07:37:38 ||| RECEIVER-3   ||  BIT RECEIVED : 0
03/10/2021 07:37:38 ||| RECEIVER-2   ||  BIT RECEIVED : 0
03/10/2021 07:37:39 ||| SENDER-1     ||  DATA BIT SEND 1
03/10/2021 07:37:39 ||| CHANNEL...   ||  [1, 1, 1, 1]
03/10/2021 07:37:39 ||| SENDER-3     ||  DATA BIT SEND 1
03/10/2021 07:37:39 ||| CHANNEL...   ||  [1, 1, -1, -1]
03/10/2021 07:37:39 ||| CHANNEL...   ||  [1, -1, -1, 1]1
03/10/2021 07:37:39 ||| CHANNEL...   ||  [1, -1, 1, -1]1
03/10/2021 07:37:39 ||| RECEIVER-1   ||  BIT RECEIVED : 1
03/10/2021 07:37:39 ||| RECEIVER-2   ||  BIT RECEIVED : 1
03/10/2021 07:37:39 ||| RECEIVER-4   ||  BIT RECEIVED : 1
03/10/2021 07:37:39 ||| RECEIVER-3   ||  BIT RECEIVED : 1

03/10/2021 07:37:39 ||| DATA : [0, 1, 1, 0, 0, 0, 0, 1]

03/10/2021 07:37:39 ||| DATA : [0, 1, 1, 0, 0, 0, 0, 1]

03/10/2021 07:37:39 ||| DATA : [0, 1, 1, 0, 0, 0, 0, 1]

03/10/2021 07:37:39 ||| DATA : [0, 1, 1, 0, 0, 0, 0, 1]

03/10/2021 07:37:39 ||| CHAR RECEIVED : a


03/10/2021 07:37:39 ||| CHAR RECEIVED : a


03/10/2021 07:37:39 ||| CHAR RECEIVED : a


03/10/2021 07:37:39 ||| CHAR RECEIVED : a

03/10/2021 07:37:40 ||| SENDER-1     ||  DATA BIT SEND -1
03/10/2021 07:37:40 ||| CHANNEL...   ||  [-1, -1, 1, 1]-1
03/10/2021 07:37:40 ||| CHANNEL...   ||  [-1, 1, 1, -1]
03/10/2021 07:37:40 ||| SENDER-4     ||  DATA BIT SEND -1
03/10/2021 07:37:40 ||| CHANNEL...   ||  [-1, 1, -1, 1]-1
03/10/2021 07:37:40 ||| RECEIVER-2   ||  BIT RECEIVED : 0
03/10/2021 07:37:40 ||| RECEIVER-3   ||  BIT RECEIVED : 0
03/10/2021 07:37:41 ||| CHANNEL...   ||  [1, 1, 1, 1]D 1
03/10/2021 07:37:41 ||| CHANNEL...   ||  [1, 1, -1, -1]
03/10/2021 07:37:41 ||| SENDER-3     ||  DATA BIT SEND 1
03/10/2021 07:37:41 ||| CHANNEL...   ||  [1, -1, -1, 1]1
03/10/2021 07:37:41 ||| CHANNEL...   ||  [1, -1, 1, -1]
03/10/2021 07:37:41 ||| SENDER-2     ||  DATA BIT SEND 1
03/10/2021 07:37:41 ||| RECEIVER-1   ||  BIT RECEIVED : 1
03/10/2021 07:37:41 ||| RECEIVER-3   ||  BIT RECEIVED : 1
03/10/2021 07:37:41 ||| RECEIVER-4   ||  BIT RECEIVED : 1
03/10/2021 07:37:41 ||| RECEIVER-2   ||  BIT RECEIVED : 1
03/10/2021 07:37:42 ||| CHANNEL...   ||  [1, 1, 1, 1]D 1
03/10/2021 07:37:42 ||| CHANNEL...   ||  [1, 1, -1, -1]1
03/10/2021 07:37:42 ||| SENDER-4     ||  DATA BIT SEND 1
03/10/2021 07:37:42 ||| SENDER-2     ||  DATA BIT SEND 1
03/10/2021 07:37:42 ||| RECEIVER-1   ||  BIT RECEIVED : 1
03/10/2021 07:37:42 ||| RECEIVER-4   ||  BIT RECEIVED : 1
03/10/2021 07:37:42 ||| RECEIVER-3   ||  BIT RECEIVED : 1
